Name,Ability (theta),Total Score
Dionysus,0.7767,13
Yudhishthira,0.7767,13
Zeus,0.6523,12
Nezha,0.6523,12
Krishna,0.6477,12
Perseus,0.5311,11
Fionn mac Cumhaill,0.5311,11
Arthur,0.5311,11
Pelops,0.4879,11
Jason,0.4454,11
Romulus,0.4454,11
Aeneas,0.4222,10
Rama,0.4222,10
Bellerophon,0.3857,10
Cúchulainn,0.3818,10
Heracles,0.3775,11
Karna,0.3422,10
Maui,0.3422,10
Achilles,0.3206,9
Oedipus,0.3203,12
Asclepius,0.279,10
Sun Wukong,0.1808,10
Thánh Gióng,-0.0319,10
Gilgamesh (Hel),-0.104,9
Theseus,-0.1175,12
Siegfried,-0.1835,11
Cadmus,-0.2157,8
Nyikang,-0.2942,7
Moses,-0.8123,12
Watu Gunung,-0.9838,10
Lleu Llaw Gyffes,-1.0192,9
Mwindo,-1.066,10
Fereydun,-1.3601,9
Horus,-1.514,8
Rostam,-1.5249,6
Apollo,-1.5667,7
