,F1,F2,F3,F4,F5,F6
C1,1.1365492272421094,-0.5120964062328567,-0.5748566447563903,-0.2521229432956337,-0.40024722148217334,-0.13488229927346854
C2,-0.013930894663776049,0.1689919955814489,-0.028284655981074068,0.48348358443471673,0.17117828287682077,1.1319778428985103
C3,0.14731940090610637,0.3325479869597641,0.18549511556293813,1.0603592657335288,0.2241925123467634,0.21370425331706153
C4,0.8665253495884853,0.020206064887490917,-0.13764788371478803,0.0820542256121028,0.3824700781297762,0.4948354465993174
C6,0.784421836563396,-0.038242628742695,-0.2546381409947588,0.5924030413412542,-0.1306188956642647,0.05707613144552209
C8,-0.9333415123801576,-0.6965023265640554,-0.7399448285950452,-0.11122078895882105,0.21307830904082642,-0.22721020622821156
C11,-0.5870282185155438,0.03173936956365664,-0.22887980567938304,-0.0846398043677002,0.04932216756416972,0.1832762469956569
C12,-0.3830792168317458,-0.5532076852532699,0.9884341487241429,-0.30975556847976693,-0.7295754726852393,-0.039750195882763906
C13,-0.0986557615717693,0.8022745520158358,0.13895425534105393,-0.8347971174872331,0.4553680458629789,-0.30661225890652694
C14,-0.1403862038172261,0.01405768580609637,0.09864018203633496,0.024646485680907874,1.1038020176737415,0.09338452099901363
C15,0.015453172017889672,0.8421876637893698,0.14563304847442693,0.3339839769265584,0.18619158929399018,-0.7532205074847684
C16,0.04572011291979648,0.1221126575872756,1.0938100806771727,0.10960370270209827,0.2266958923710244,-0.09895928347921974
C17,-0.13491268920552169,1.1082868057108695,-0.04748524719550246,0.10773611232029114,-0.035498585597350765,0.20902153784884606
