,F1,F2,F3,F4,F5,F6
C1,0.2183202932409393,-0.25311247712183627,-0.4085089073287992,-0.38238445485036493,-0.21938780963238969,-0.7375963983177196
C2,0.5559065321595337,0.0025486217030097824,-0.13276245941749662,0.1326882078022229,0.4681847272278173,0.46783075701640736
C3,0.3572246795175359,0.37385112115134406,0.28630594808015525,0.12610801936841703,0.804632053258411,-0.04384651639511178
C4,0.984637733804112,-0.05703821170747733,0.04232367616231537,0.14652823900911188,0.08311227616207743,0.030770127862122704
C5,0.984637733804112,-0.057038211707477415,0.042323676162315145,0.14652823900911208,0.08311227616207752,0.030770127862122965
C6,0.5847130951809401,0.076652667192907,0.017980988947072868,-0.19752226232983078,0.3769373377263002,-0.15443629167343853
C8,-0.5737264639816965,-0.31881467037287115,-0.46615854979752525,0.4934840410270352,0.04187085948729413,-0.02664969934404966
C11,0.034995567158203414,0.0060774605896049124,-0.06582385005463184,-0.04318422160947134,-0.1567642043289798,0.5959021895225792
C12,-0.48867146228455927,-0.5323522390819704,0.330117775421577,-0.5418882926833389,-0.04711218942563855,0.26724685447745194
C13,-0.07127971406459152,0.5007007619030556,0.23524970822424376,0.21938218674169824,-0.794924729398164,0.18249941507925027
C14,0.1568062247082917,0.018220743027528782,0.2378209649709105,0.9546664544398663,-0.07051356798271613,0.11012703024020114
C15,-0.16112156665732533,0.8152802272866612,0.3943864538037058,0.03151574744140952,-0.009154043614219162,-0.20050394542794572
C16,0.0792170347872637,0.14106431747037212,0.963859374065506,0.15659067917408523,0.006938838803709685,-0.003022321336350051
C17,0.07134576668162924,0.8499313327358903,-0.013567960158529468,-0.0462133521393587,0.02411468749663574,0.37705126992955973
