,F1,F2,F3,F4,F5,F6
C1,0.0,0.0,0.0,0.0,0.0,-0.7375963983177196
C2,0.5559065321595337,0.0,0.0,0.0,0.4681847272278173,0.46783075701640736
C3,0.0,0.0,0.0,0.0,0.804632053258411,0.0
C4,0.984637733804112,0.0,0.0,0.0,0.0,0.0
C5,0.984637733804112,0.0,0.0,0.0,0.0,0.0
C6,0.5847130951809401,0.0,0.0,0.0,0.0,0.0
C8,-0.5737264639816965,0.0,0.0,0.0,0.0,0.0
C11,0.0,0.0,0.0,0.0,0.0,0.5959021895225792
C12,0.0,-0.5323522390819704,0.0,-0.5418882926833389,0.0,0.0
C13,0.0,0.5007007619030556,0.0,0.0,-0.794924729398164,0.0
C14,0.0,0.0,0.0,0.9546664544398663,0.0,0.0
C15,0.0,0.8152802272866612,0.0,0.0,0.0,0.0
C16,0.0,0.0,0.963859374065506,0.0,0.0,0.0
C17,0.0,0.8499313327358903,0.0,0.0,0.0,0.0
