,C1,C2,C3,C4,C6,C8,C11,C12,C13,C14,C15,C16,C17
Discrimination (a),0.6311575980839027,0.7908054268767196,0.808043782574806,0.2000034181083939,0.2776583021483543,0.4936859788891701,0.2000034181083939,0.35621404651070365,1.2433989845822222,0.2000034181083939,1.8919615893077737,0.2075957181557356,4.999994203180531
Difficulty (b),-5.922185336837581,-2.919399236166549,-2.5294709313492474,-4.144307372189121,-5.888198895333901,-5.953956626922738,-1.69925010951541,-5.974586044754127,-1.8526893358278793,-4.144307372189121,-1.3136786972455174,2.200607109935988,-0.8122680470389919
Discrimination (a) SD,0.5947,1.5877,1.7933,1.8871,1.2442,0.1709,0.5571,0.1085,1.6233,1.2391,1.7524,1.1502,1.9693
Discrimination (a) CI 2.5%,0.4151,0.2777,0.2482,0.2,0.2,0.3169,0.2,0.2187,0.2187,0.2,0.2,0.2,0.2
Discrimination (a) CI 97.5%,2.2587,5.0,5.0,5.0,5.0,0.6312,1.5374,0.6312,5.0,5.0,5.0,5.0,5.0
Difficulty (b) SD,1.1475,1.885,1.932,1.9501,2.1045,0.3156,1.5046,0.2406,2.1333,1.7952,2.1307,1.3244,1.9879
Difficulty (b) CI 2.5%,-5.9557,-5.9745,-5.9745,-5.8021,-5.9746,-5.9745,-4.8226,-5.9746,-5.9746,-5.8021,-5.9745,-0.5618,-5.9471
Difficulty (b) CI 97.5%,-2.1521,-0.9392,-0.8123,-0.1483,-0.8123,-5.8561,1.1269,-5.772,-0.8848,-0.2521,-0.7164,4.8224,-0.5297
