,C1,C2,C3,C4,C6,C8,C11,C12,C13,C14,C15,C16,C17
Discrimination (a),0.3665118520440447,-0.6302315933825781,-1.4108681496870117,-0.7137451229586699,-0.51573926611103,0.5784875845986623,-0.015040976838521385,0.5737249854863578,-0.08710428558903086,-0.35000118002006053,-0.4408162974788802,-0.4774219772547893,-0.6191629538730854
Difficulty (b),5.563377855200746,-2.2893678243451308,-1.330297568944548,-0.875274741641251,-2.1105720770259166,3.18174035367942,-13.99192338852848,2.4528593628162847,-12.507242159383189,-1.5392337765677961,-2.3983816585444537,0.6550381052045663,-1.4526455612367533
Discrimination (a) SD,1.9666,2.411,10.0974,4.6253,5.1616,0.1932,0.1828,0.1611,2.8423,2.0627,9.5147,0.2305,6.6258
Discrimination (a) CI 2.5%,0.041,-1.3501,-9.1111,-2.1529,-2.0047,0.0286,-0.692,0.0337,-2.1089,-1.2879,-6.8354,-0.9314,-3.8495
Discrimination (a) CI 97.5%,0.8074,-0.0286,-0.0397,-0.0309,-0.029,0.697,-0.007,0.6219,-0.0121,-0.0158,-0.0663,-0.0343,-0.0517
Difficulty (b) SD,296.6097,84.1084,43.8782,56.7911,151.0961,365.6865,192.447,60.2642,98.3204,135.3845,24.9767,4.4495,37.1394
Difficulty (b) CI 2.5%,2.3651,-44.2244,-33.8426,-18.337,-32.0534,2.2699,-28.8637,1.7109,-92.9638,-28.575,-17.1566,-0.3998,-16.9239
Difficulty (b) CI 97.5%,43.7657,-1.1412,-0.776,-0.19,-0.8138,49.5631,2.2975,38.9787,-0.9095,-0.3324,-0.7339,8.9299,-0.5467
